"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JINDALSTEL","EQ","26-Aug-2019","        101.95","        102.45","        103.95","         97.15","        102.20","        101.15","         99.60","   26352764","          2624721965.60","      94447","    2985787","         11.33"
"JINDALSTEL","EQ","27-Aug-2019","        101.15","        102.50","        105.00","        101.25","        104.05","        104.05","        103.33","   16421579","          1696899593.60","      58651","    1852197","         11.28"
"JINDALSTEL","EQ","28-Aug-2019","        104.05","        103.95","        103.95","         94.85","         95.50","         95.80","         98.30","   21128544","          2076834311.50","      73900","    3165541","         14.98"
"JINDALSTEL","EQ","29-Aug-2019","         95.80","         95.80","         96.45","         91.10","         94.70","         94.05","         93.65","   26417279","          2474056335.30","      99423","    3028160","         11.46"
"JINDALSTEL","EQ","30-Aug-2019","         94.05","         96.00","         98.35","         94.20","         96.95","         96.60","         96.38","   25710354","          2478031446.60","      94136","    3268406","         12.71"
"JINDALSTEL","EQ","03-Sep-2019","         96.60","         95.65","         96.85","         92.30","         92.40","         92.80","         94.66","   13712721","          1298070050.10","      44190","    1078764","          7.87"
"JINDALSTEL","EQ","04-Sep-2019","         92.80","         93.00","         96.80","         91.05","         95.85","         95.55","         93.61","   18711992","          1751633315.20","      62259","    1175385","          6.28"
"JINDALSTEL","EQ","05-Sep-2019","         95.55","         97.00","         99.65","         95.00","         96.50","         96.10","         97.14","   21705698","          2108597332.20","      80689","    2303781","         10.61"
"JINDALSTEL","EQ","06-Sep-2019","         96.10","         96.70","         97.00","         92.50","         95.85","         95.65","         94.56","   28342974","          2679991291.80","      95293","    4609894","         16.26"
"JINDALSTEL","EQ","09-Sep-2019","         95.65","         95.50","         98.90","         93.50","         95.60","         95.50","         96.41","   28330816","          2731244453.15","      82825","    3914334","         13.82"
"JINDALSTEL","EQ","11-Sep-2019","         95.50","         96.40","        109.20","         96.20","        107.40","        107.55","        103.38","   41216573","          4261120097.50","     141109","    5209946","         12.64"
"JINDALSTEL","EQ","12-Sep-2019","        107.55","        108.20","        113.95","        106.55","        107.20","        107.25","        109.71","   46605839","          5113104950.90","     171338","    5096166","         10.93"
"JINDALSTEL","EQ","13-Sep-2019","        107.25","        108.30","        109.85","        104.50","        108.20","        109.00","        106.87","   28388159","          3033824689.45","      88975","    2546148","          8.97"
"JINDALSTEL","EQ","16-Sep-2019","        109.00","        106.90","        109.15","        105.55","        108.15","        107.60","        107.39","   15476632","          1661966276.70","      64749","    1258295","          8.13"
"JINDALSTEL","EQ","17-Sep-2019","        107.60","        107.60","        111.30","        101.60","        102.75","        102.80","        107.21","   29665626","          3180399970.20","     103704","    4030824","         13.59"
"JINDALSTEL","EQ","18-Sep-2019","        102.80","        104.00","        106.60","        102.80","        104.65","        104.90","        105.03","   21024523","          2208284360.10","     101602","    2345125","         11.15"
"JINDALSTEL","EQ","19-Sep-2019","        104.90","        105.00","        105.20","         97.60","        100.45","        100.35","        101.11","   20847083","          2107915972.50","      75901","    2364297","         11.34"
"JINDALSTEL","EQ","20-Sep-2019","        100.35","        101.30","        111.95","         98.85","        108.35","        108.65","        106.69","   39542671","          4218615979.70","     131260","    7218672","         18.26"
"JINDALSTEL","EQ","23-Sep-2019","        108.65","        114.60","        114.60","        106.25","        109.00","        110.75","        110.16","   27080657","          2983310436.00","     114661","    4572934","         16.89"
"JINDALSTEL","EQ","24-Sep-2019","        110.75","        110.00","        111.90","        106.30","        106.60","        107.15","        108.49","   14969322","          1623964850.95","      63706","    1492095","          9.97"
"JINDALSTEL","EQ","25-Sep-2019","        107.15","        105.70","        106.35","        101.25","        103.00","        103.60","        103.75","   16083605","          1668695204.65","      58128","    2535197","         15.76"
