"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JSWSTEEL","EQ","26-Aug-2019","        220.65","        222.15","        225.00","        206.30","        213.90","        214.10","        212.26","   13555325","          2877311411.45","      95211","    2996396","         22.10"
"JSWSTEEL","P2","26-Aug-2019","          3.65","          3.60","          3.65","          3.60","          3.65","          3.65","          3.60","      24110","               86883.55","         25","      22359","         92.74"
"JSWSTEEL","EQ","27-Aug-2019","        214.10","        217.40","        217.50","        212.80","        213.50","        213.40","        215.10","   12287346","          2643025416.15","      97800","    4678937","         38.08"
"JSWSTEEL","P2","27-Aug-2019","          3.65","          3.65","          3.65","          3.60","          3.60","          3.60","          3.61","       2878","               10400.95","         13","       2878","        100.00"
"JSWSTEEL","EQ","28-Aug-2019","        213.40","        214.00","        214.25","        202.80","        205.25","        205.75","        208.11","    9056214","          1884718251.70","      67745","    1543106","         17.04"
"JSWSTEEL","P2","28-Aug-2019","          3.60","          3.70","          3.70","          3.60","          3.60","          3.60","          3.61","      34513","              124426.30","         25","      32453","         94.03"
"JSWSTEEL","EQ","29-Aug-2019","        205.75","        203.80","        214.55","        201.75","        212.00","        211.95","        207.57","   18785875","          3899344020.35","     101946","    5800199","         30.88"
"JSWSTEEL","P2","29-Aug-2019","          3.60","          3.65","          3.65","          3.60","          3.60","          3.60","          3.65","      94128","              343365.60","         22","      79127","         84.06"
"JSWSTEEL","EQ","30-Aug-2019","        211.95","        215.00","        218.95","        211.25","        218.00","        217.45","        215.17","   10442126","          2246799272.00","      70976","    1363020","         13.05"
"JSWSTEEL","P2","30-Aug-2019","          3.60","          3.60","          3.65","          3.60","          3.60","          3.65","          3.65","      31853","              116173.80","         14","      31853","        100.00"
"JSWSTEEL","EQ","03-Sep-2019","        217.45","        214.00","        215.50","        209.30","        209.60","        210.15","        212.46","    5563093","          1181907801.15","      39587","     847831","         15.24"
